Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,JPM,GS,BAC,JNJ,UNH,PFE,KO,PG,NKE,WMT,XOM,CVX,CAT,HON,UPS,DIS,NFLX,TSLA,COST
2021-02-17,127.437553,234.324463,105.548958,165.432007,14.863395,271.439819,127.778923,276.259247,30.323935,142.964752,298.954987,27.180607,42.834709,113.233948,133.203674,45.749287,43.637520,77.890915,184.499527,170.992935,129.170181,182.150482,55.133999,266.049988,338.974396
2021-02-18,126.336967,233.931030,104.997971,166.411499,14.786617,267.292419,128.210434,273.750610,30.130056,143.033783,300.372620,26.923529,43.381580,114.177094,134.221222,42.784279,42.952206,77.143822,182.328964,172.364990,130.068787,178.789597,54.821999,262.459991,337.914093
2021-02-19,126.492828,231.225082,104.201508,162.494995,14.883835,259.523346,130.350388,278.803253,30.438503,140.651886,296.869629,26.830038,42.817619,112.052757,131.381256,42.995628,43.241192,77.793480,191.439911,172.398849,129.616669,179.424652,54.021999,260.433319,335.878510
2021-02-22,122.723434,225.026337,102.403275,159.037003,14.314719,258.302979,131.574417,279.907532,30.976063,140.565048,299.668427,26.689814,43.261948,111.576752,126.432037,42.793602,44.834766,79.896667,198.872787,172.449661,130.472473,187.348053,53.377998,238.166672,331.561340
2021-02-23,122.587074,223.836472,102.699844,159.725006,14.101581,263.789886,132.631195,281.974518,31.302126,139.323273,301.378754,26.417154,43.185047,112.405357,125.932457,42.103642,45.454041,80.903572,200.806259,173.652298,129.834641,192.555435,54.615002,232.946671,323.930542
2021-02-24,122.090347,225.064728,103.905449,157.976501,14.457555,262.251984,134.964844,292.071289,32.059998,141.190308,303.848236,26.292509,43.330307,112.528740,125.488426,41.401241,46.816410,83.891891,202.894745,178.725372,129.237183,192.965759,55.341000,247.339996,322.557739
2021-02-25,117.843712,219.729538,100.740936,152.858002,13.269464,252.706879,133.133118,289.527222,31.663443,141.337906,300.793396,26.347038,42.868889,111.576752,125.386635,41.009632,46.040268,83.112328,202.301956,174.208282,127.170273,186.586014,54.669998,227.406662,316.119904
2021-02-26,118.106728,222.982483,101.013687,154.646500,13.675303,255.614090,129.601822,282.213013,30.588316,137.603912,303.857391,26.089956,41.860626,108.888252,124.937050,40.378727,44.892570,81.204056,196.884644,172.132706,127.428658,184.690628,53.884998,225.166672,313.374237
2021-03-01,124.466888,227.358078,103.228004,157.307007,13.802188,262.847321,132.534332,292.580048,31.540071,138.350693,306.079895,26.245760,42.638187,109.558197,127.597504,40.829369,46.568722,82.868721,200.423203,175.424744,130.367508,190.493988,55.063999,239.476669,314.103241
2021-03-02,121.866341,224.412201,102.946800,154.726501,13.367932,256.983337,132.102783,293.484528,31.310932,138.090195,306.070770,26.105534,42.809082,109.214424,127.013504,40.437759,46.296234,83.185425,196.829910,175.730972,130.286774,189.477921,54.782001,228.813339,310.969543
2021-03-03,118.885925,218.357391,100.510323,150.250000,12.768150,253.421295,134.656616,296.579498,32.095253,135.658722,304.451904,26.791094,42.706551,108.562119,124.455048,39.654560,46.667793,84.119278,195.999939,176.096771,129.527817,187.836548,52.070000,217.733337,306.671356
2021-03-04,117.006088,217.560928,101.620193,148.878494,12.334892,255.633926,132.587128,292.021271,32.325520,132.923309,305.311615,26.643072,42.672375,107.671860,122.397163,39.635910,48.476051,84.858223,194.048264,172.634567,128.736618,183.703888,51.129002,207.146667,302.051208
2021-03-05,118.262527,222.233994,104.568512,150.022995,12.425880,262.222198,132.895370,290.318665,32.706337,135.554504,317.467072,26.791094,43.398655,111.047874,123.611504,40.130093,50.309078,88.512413,200.787994,175.730972,132.733109,185.618805,51.639000,199.316666,300.422729
2021-03-08,113.334122,218.194290,100.384354,147.597504,11.560113,253.322067,134.656616,296.366730,32.883469,136.683395,320.274902,26.759922,44.124958,112.220222,124.733154,39.744698,50.259533,89.121445,202.083038,176.683731,129.883087,197.264542,49.333000,187.666672,294.836945
2021-03-09,117.941116,224.325836,101.799240,153.142502,12.488773,263.670837,133.705536,293.174194,32.166103,136.943924,321.930481,26.837831,43.458473,111.224174,126.021652,40.058601,49.483383,88.918427,197.723648,176.607178,131.820801,190.034790,50.644001,224.526672,301.805023
2021-03-10,116.859993,223.020828,101.914780,152.882004,12.436908,262.837402,136.611618,303.310516,33.096016,138.203064,319.753632,27.211771,43.954071,112.246681,127.541855,41.081127,51.002644,90.436943,201.608810,181.115723,133.403275,190.572144,50.453999,222.686661,306.586060
2021-03-11,118.788498,227.540359,104.877464,155.679504,12.960833,271.747467,135.898300,303.381439,32.980885,138.194397,322.954834,27.040384,43.475571,111.867653,130.878967,41.065567,50.622837,90.290756,200.423203,180.766953,135.026108,192.223251,52.306000,233.199997,311.149445
2021-03-12,117.882690,226.216171,102.256477,154.474503,12.823680,266.310120,137.509842,309.332062,33.600815,138.593826,326.782379,27.219557,43.389408,112.951866,130.192978,41.684067,51.167793,90.591217,208.850159,182.366226,135.389435,192.623840,51.801998,231.243332,313.506805
2021-03-15,120.765709,225.314163,102.483124,154.084000,13.158086,271.618469,136.822968,306.884399,33.432552,139.305893,324.818115,27.585709,43.966663,113.322067,134.355072,41.469612,49.863201,89.527458,210.437073,183.914413,131.312149,192.233017,52.025002,235.979996,312.910339
2021-03-16,122.304626,228.096909,103.774017,154.593002,13.257834,277.105438,135.184982,303.035614,33.335140,140.130859,325.478973,27.912909,44.130371,113.657021,134.086258,41.457191,48.806324,87.408005,206.533646,180.179947,131.457504,189.771027,52.403000,225.626663,309.823944
2021-03-17,121.515694,227.454010,103.702606,156.786499,13.307709,281.798615,136.576401,305.908966,33.609695,139.609863,323.257660,27.881742,44.147610,113.198677,134.243866,41.112198,49.020992,87.724731,213.072815,181.217789,129.705475,190.748016,52.444000,233.936661,311.660706
2021-03-18,117.395691,221.389572,100.981941,151.399506,12.690515,276.450531,138.830765,308.613739,34.486458,139.349319,332.317169,27.866161,43.570339,113.445480,132.714355,40.575390,46.907249,84.549660,210.382339,182.910660,129.342148,187.856094,50.479000,217.720001,305.781281
2021-03-19,116.869720,221.034592,101.328102,153.748001,12.813455,287.851105,136.620422,305.243805,34.123356,138.975891,335.557251,27.679186,43.777119,112.837257,127.449181,41.115326,46.643032,83.948715,205.466599,181.115723,128.607422,186.742340,51.217999,218.289993,311.395599
2021-03-22,120.181305,226.446472,101.099480,155.543503,13.153099,291.254395,132.948181,300.925018,33.352852,139.375397,336.732117,28.045343,43.940823,114.750046,128.172180,41.311935,46.164131,83.266624,206.132370,180.452209,130.036484,188.422775,52.311001,223.333328,316.678406
2021-03-23,119.353416,227.972183,101.812134,156.875000,13.037888,288.367035,131.618423,294.220581,32.679783,139.245163,338.237427,27.546753,44.276844,116.883217,127.106140,41.801922,45.594398,82.803764,199.046051,177.440842,129.067688,184.387772,53.508999,220.720001,322.216888
2021-03-24,116.967125,225.937927,101.420349,154.353500,12.611215,279.943146,132.639984,291.453705,32.679783,140.599792,340.165009,27.741512,44.388847,116.847984,123.435394,41.542889,46.519169,85.020622,201.763855,180.528732,129.108032,180.470016,52.081001,210.089996,320.039368
2021-03-25,117.454124,222.944077,101.385635,152.313004,12.503736,276.569641,134.339584,293.138702,33.352852,140.651917,340.614746,27.788254,44.819641,117.658920,119.245476,41.823776,46.387051,85.321075,204.518112,181.940872,131.804657,182.609634,50.285999,213.463333,327.897430
2021-03-26,118.058022,226.916656,100.948723,152.601501,12.806971,280.816345,136.576401,290.336395,34.256195,143.222305,345.562164,28.240101,45.698456,119.395409,123.277824,42.173306,47.650352,87.278091,209.306198,185.896469,135.623550,181.642426,50.805000,206.236664,333.274994
2021-03-29,118.233315,225.726837,101.960411,153.786499,12.915697,288.555542,134.454056,288.864288,33.928513,144.186203,347.930328,28.528343,46.396332,121.264145,123.741302,42.653942,47.394394,86.823364,209.962830,186.194199,135.752731,180.597061,51.395000,203.763336,337.184998
2021-03-30,116.782059,222.473907,101.940079,152.764496,12.839389,285.757507,136.039200,294.433472,34.530743,143.291779,342.881927,28.131037,45.793224,119.395409,123.240700,42.363697,46.808159,86.019447,212.571182,185.522186,136.156403,181.261414,51.339001,211.873337,331.125916
2021-03-31,118.973549,226.235336,102.589249,154.703995,13.314692,292.236694,134.057800,289.990509,34.265049,142.718658,341.514221,28.224524,45.414139,119.377800,123.185097,42.391792,46.098072,85.093712,211.467636,184.654495,137.246414,180.274643,52.166000,222.643326,333.710388
2021-04-01,119.801460,232.549271,106.017113,158.050003,13.777026,296.334534,135.361130,290.558075,34.973560,141.398712,336.924896,28.279047,45.241817,118.364090,122.851402,42.326248,47.386139,85.873260,212.261108,184.424789,138.287903,184.622253,53.942001,220.583328,336.039429
