algorithm,instance_id,p,selected_stocks,K,sharpe_ratio,feasible,approx_ratio
warm_start_qaoa_saksham,tiny_0010,1,GS+PG,2,0.0727,True,1.0
warm_start_qaoa_saksham,tiny_0010,2,GS+PG,2,0.0727,True,1.0
warm_start_qaoa_saksham,tiny_0011,1,PG+CAT,2,0.0665,True,1.0
warm_start_qaoa_saksham,tiny_0011,2,PG+CAT,2,0.0665,True,1.0
warm_start_qaoa_saksham,tiny_0012,1,GS+COST,2,0.0099,True,1.0
warm_start_qaoa_saksham,tiny_0012,2,GS+COST,2,0.0099,True,1.0
warm_start_qaoa_saksham,tiny_0013,1,AAPL+JPM,2,0.0554,True,1.0
warm_start_qaoa_saksham,tiny_0013,2,AAPL+JPM,2,0.0554,True,1.0
warm_start_qaoa_saksham,tiny_0014,1,JPM+KO,2,0.117,True,1.0
warm_start_qaoa_saksham,tiny_0014,2,JPM+KO,2,0.117,True,1.0
